timestamp,shop_id,sku_id,product_category,orders_created,orders_cancelled_pre_ship,orders_shipped,orders_delivered,orders_returned,stock_on_hand,incoming_stock,stockout_flag,price,promotion_flag,product_views,affiliate_orders,active_affiliates,content_view_velocity,operation_mode,constraint_profile,split
2026-06-19 14:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,6,0,0,0,0,260,0,0,38000.0,0,328.0,2.0,0.0,67.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 15:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,5,1,0,0,0,254,0,0,38000.0,0,257.0,1.0,1.0,16.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 16:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,3,1,6,0,0,249,0,0,38000.0,0,184.0,1.0,3.0,52.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 17:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,7,0,4,0,0,246,0,0,38000.0,0,323.0,2.0,2.0,69.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 18:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,7,0,2,0,0,239,0,0,38000.0,0,382.0,3.0,0.0,49.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 19:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,6,0,7,0,0,232,0,0,38000.0,0,217.0,3.0,0.0,114.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 20:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,3,2,7,0,0,226,0,0,38000.0,0,130.0,1.0,3.0,56.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 21:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,7,0,6,0,0,223,0,0,38000.0,0,227.0,2.0,2.0,61.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 22:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,2,0,1,0,0,216,0,0,38000.0,0,65.0,0.0,4.0,60.0,PRODUCTION,FOOD_DEMO,train
2026-06-19 23:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,2,0,7,0,0,214,0,0,38000.0,0,85.0,1.0,4.0,61.0,PRODUCTION,FOOD_DEMO,train
2026-06-20 00:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,0,0,2,0,0,212,0,0,38000.0,0,6.0,0.0,1.0,41.0,PRODUCTION,FOOD_DEMO,train
2026-06-20 01:00:00+07:00,SHOP-DEMO-01,SKU-001,packaged_food,1,0,2,0,0,212,0,0,38000.0,0,50.0,0.0,3.0,53.0,PRODUCTION,FOOD_DEMO,train
