timestamp,sku_id,fulfillment_demand,target_demand_24h,target_censored_24h,target_demand_48h,target_censored_48h,target_demand_72h,target_censored_72h,split
2026-06-19 14:00:00+07:00,SKU-001,6.0,79.0,0,162.0,0,232.0,0,train
2026-06-19 15:00:00+07:00,SKU-001,5.0,78.0,0,162.0,0,232.0,0,train
2026-06-19 16:00:00+07:00,SKU-001,3.0,77.0,0,166.0,0,236.0,0,train
2026-06-19 17:00:00+07:00,SKU-001,6.0,77.0,0,162.0,0,238.0,0,train
2026-06-19 18:00:00+07:00,SKU-001,7.0,77.0,0,162.0,0,236.0,0,train
2026-06-19 19:00:00+07:00,SKU-001,6.0,75.0,0,162.0,0,241.0,0,train
2026-06-19 20:00:00+07:00,SKU-001,3.0,86.0,0,160.0,0,242.0,0,train
2026-06-19 21:00:00+07:00,SKU-001,7.0,84.0,0,161.0,0,238.0,0,train
2026-06-19 22:00:00+07:00,SKU-001,2.0,88.0,0,163.0,0,237.0,0,train
2026-06-19 23:00:00+07:00,SKU-001,2.0,87.0,0,164.0,0,238.0,0,train
2026-06-20 00:00:00+07:00,SKU-001,0.0,90.0,0,164.0,0,239.0,0,train
2026-06-20 01:00:00+07:00,SKU-001,1.0,89.0,0,165.0,0,238.0,0,train
2026-06-20 02:00:00+07:00,SKU-001,1.0,88.0,0,164.0,0,237.0,0,train
2026-06-20 03:00:00+07:00,SKU-001,0.0,89.0,0,164.0,0,237.0,0,train
2026-06-20 04:00:00+07:00,SKU-001,0.0,89.0,0,164.0,0,237.0,0,train
2026-06-20 05:00:00+07:00,SKU-001,0.0,89.0,0,164.0,0,237.0,0,train
2026-06-20 06:00:00+07:00,SKU-001,1.0,89.0,0,163.0,0,237.0,0,train
2026-06-20 07:00:00+07:00,SKU-001,1.0,89.0,0,162.0,0,236.0,0,train
2026-06-20 08:00:00+07:00,SKU-001,2.0,89.0,0,163.0,0,235.0,0,train
2026-06-20 09:00:00+07:00,SKU-001,5.0,85.0,0,160.0,0,230.0,0,train
