timestamp,sku_id,latent_demand,latent_mu,baseline_mu,demand_multiplier,content_intensity,censored_units,episode_id,episode_type,split
2026-06-19 14:00:00+07:00,SKU-001,6,3.5805,3.5805,1.0,0.0,0,,,train
2026-06-19 15:00:00+07:00,SKU-001,5,3.4864,3.4864,1.0,0.0,0,,,train
2026-06-19 16:00:00+07:00,SKU-001,3,3.7687,3.7687,1.0,0.0,0,,,train
2026-06-19 17:00:00+07:00,SKU-001,7,4.3957,4.3957,1.0,0.0,0,,,train
2026-06-19 18:00:00+07:00,SKU-001,7,5.2321,5.2321,1.0,0.0,0,,,train
2026-06-19 19:00:00+07:00,SKU-001,6,6.1412,6.1412,1.0,0.0,0,,,train
2026-06-19 20:00:00+07:00,SKU-001,3,6.4319,6.4319,1.0,0.0,0,,,train
2026-06-19 21:00:00+07:00,SKU-001,7,5.3721,5.3721,1.0,0.0,0,,,train
2026-06-19 22:00:00+07:00,SKU-001,2,3.5431,3.5431,1.0,0.0,0,,,train
2026-06-19 23:00:00+07:00,SKU-001,2,1.8103,1.8103,1.0,0.0,0,,,train
2026-06-20 00:00:00+07:00,SKU-001,0,1.015,1.015,1.0,0.0,0,,,train
2026-06-20 01:00:00+07:00,SKU-001,1,0.651,0.651,1.0,0.0,0,,,train
2026-06-20 02:00:00+07:00,SKU-001,1,0.4485,0.4485,1.0,0.0,0,,,train
2026-06-20 03:00:00+07:00,SKU-001,0,0.3677,0.3677,1.0,0.0,0,,,train
2026-06-20 04:00:00+07:00,SKU-001,0,0.4094,0.4094,1.0,0.0,0,,,train
2026-06-20 05:00:00+07:00,SKU-001,0,0.7384,0.7384,1.0,0.0,0,,,train
2026-06-20 06:00:00+07:00,SKU-001,1,1.5618,1.5618,1.0,0.0,0,,,train
2026-06-20 07:00:00+07:00,SKU-001,1,2.553,2.553,1.0,0.0,0,,,train
2026-06-20 08:00:00+07:00,SKU-001,2,3.5065,3.5065,1.0,0.0,0,,,train
2026-06-20 09:00:00+07:00,SKU-001,5,4.1327,4.1327,1.0,0.0,0,,,train
2026-06-20 10:00:00+07:00,SKU-001,1,4.6366,4.6366,1.0,0.0,0,,,train
2026-06-20 11:00:00+07:00,SKU-001,16,5.142,5.142,1.0,0.0,0,,,train
2026-06-20 12:00:00+07:00,SKU-001,2,5.3995,5.3995,1.0,0.0,0,,,train
2026-06-20 13:00:00+07:00,SKU-001,3,4.9087,4.9087,1.0,0.0,0,,,train
2026-06-20 14:00:00+07:00,SKU-001,5,4.3744,4.3744,1.0,0.0,0,,,train
2026-06-20 15:00:00+07:00,SKU-001,5,4.2555,4.2555,1.0,0.0,0,,,train
2026-06-20 16:00:00+07:00,SKU-001,2,4.5955,4.5955,1.0,0.0,0,,,train
2026-06-20 17:00:00+07:00,SKU-001,7,5.3544,5.3544,1.0,0.0,0,,,train
2026-06-20 18:00:00+07:00,SKU-001,8,6.3661,6.3661,1.0,0.0,0,,,train
2026-06-20 19:00:00+07:00,SKU-001,4,7.4636,7.4636,1.0,0.0,0,,,train
2026-06-20 20:00:00+07:00,SKU-001,15,7.8075,7.8075,1.0,0.0,0,,,train
2026-06-20 21:00:00+07:00,SKU-001,6,6.5128,6.5128,1.0,0.0,0,,,train
2026-06-20 22:00:00+07:00,SKU-001,6,4.2898,4.2898,1.0,0.0,0,,,train
2026-06-20 23:00:00+07:00,SKU-001,1,2.1888,2.1888,1.0,0.0,0,,,train
